ENDPOINT,QUERY,TIME
http://localhost:8080/parliament/sparql,boundary.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,boundary.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,boundary.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,buffer.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,buffer.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,buffer.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,convexHull.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,convexHull.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,convexHull.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,difference.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,difference.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,difference.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,distance.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,distance.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,distance.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,envelope.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,envelope.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,envelope.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,getSRID.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,getSRID.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,getSRID.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,intersection.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,intersection.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,intersection.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,relate.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,relate.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,relate.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,symDifference.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,symDifference.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,symDifference.sparql,http://localhost:8080/marmotta/sparql/select
http://localhost:8080/parliament/sparql,union.sparql,http://localhost:8080/parliament/sparql
http://localhost:8080/strabon/Query,union.sparql,http://localhost:8080/strabon/Query
http://localhost:8080/marmotta/sparql/select,union.sparql,http://localhost:8080/marmotta/sparql/select
